expression,reading,romaji,meaningKo,partOfSpeech,level
床,ゆか,yuka,뜻 자동 생성 필요,미분류,N3
実,み,mi,뜻 자동 생성 필요,미분류,N3
節,ふし,fushi,뜻 자동 생성 필요,미분류,N3
文,ぶん,bun,뜻 자동 생성 필요,미분류,N3
値,ね,ne,뜻 자동 생성 필요,미분류,N3
象,ぞう,zou,뜻 자동 생성 필요,미분류,N3
利口,りこう,rikou,뜻 자동 생성 필요,미분류,N3
角,つの,tsuno,뜻 자동 생성 필요,미분류,N3
御,お,o,뜻 자동 생성 필요,미분류,N3
吐く,はく,haku,뜻 자동 생성 필요,미분류,N3
様,よう,you,뜻 자동 생성 필요,미분류,N3
面,めん,men,뜻 자동 생성 필요,미분류,N3
印,しるし,shirushi,뜻 자동 생성 필요,미분류,N3
仏,ほとけ,hotoke,뜻 자동 생성 필요,미분류,N3
会,かい,kai,뜻 자동 생성 필요,미분류,N3
輪,わ,wa,뜻 자동 생성 필요,미분류,N3
敵,てき,teki,뜻 자동 생성 필요,미분류,N3
夜中,よなか,yonaka,뜻 자동 생성 필요,미분류,N3
土産,みやげ,miyage,뜻 자동 생성 필요,미분류,N3
玉,たま,tama,뜻 자동 생성 필요,미분류,N3
頃,ころ,koro,뜻 자동 생성 필요,미분류,N3
例,れい,rei,뜻 자동 생성 필요,미분류,N3
地方,ちほう,chihou,뜻 자동 생성 필요,미분류,N3
縁,ふち,fuchi,뜻 자동 생성 필요,미분류,N3
原,はら,hara,뜻 자동 생성 필요,미분류,N3
骨,ほね,hone,뜻 자동 생성 필요,미분류,N3
際,さい,sai,뜻 자동 생성 필요,미분류,N3
作物,さくもつ,sakumotsu,뜻 자동 생성 필요,미분류,N3
氏,し,shi,뜻 자동 생성 필요,미분류,N3
種,たね,tane,뜻 자동 생성 필요,미분류,N3
生,なま,nama,뜻 자동 생성 필요,미분류,N3
然も,しかも,shikamo,뜻 자동 생성 필요,미분류,N3
末,すえ,sue,뜻 자동 생성 필요,미분류,N3
役,やく,yaku,뜻 자동 생성 필요,미분류,N3
七,しち,shichi,뜻 자동 생성 필요,미분류,N3
以来,いらい,irai,뜻 자동 생성 필요,미분류,N3
委員,いいん,iin,뜻 자동 생성 필요,미분류,N3
維持,いじ,iji,뜻 자동 생성 필요,미분류,N3
違反,いはん,ihan,뜻 자동 생성 필요,미분류,N3
医療,いりょう,iryou,뜻 자동 생성 필요,미분류,N3
一般,いっぱん,ippan,뜻 자동 생성 필요,미분류,N3
一方,いっぽう,ippou,뜻 자동 생성 필요,미분류,N3
運動,うんどう,undou,뜻 자동 생성 필요,미분류,N3
影響,えいきょう,eikyou,뜻 자동 생성 필요,미분류,N3
援助,えんじょ,enjo,뜻 자동 생성 필요,미분류,N3
価格,かかく,kakaku,뜻 자동 생성 필요,미분류,N3
可能,かのう,kanou,뜻 자동 생성 필요,미분류,N3
過去,かこ,kako,뜻 자동 생성 필요,미분류,N3
会員,かいいん,kaiin,뜻 자동 생성 필요,미분류,N3
解決,かいけつ,kaiketsu,뜻 자동 생성 필요,미분류,N3
回復,かいふく,kaifuku,뜻 자동 생성 필요,미분류,N3
海外,かいがい,kaigai,뜻 자동 생성 필요,미분류,N3
外交,がいこう,gaikou,뜻 자동 생성 필요,미분류,N3
拡大,かくだい,kakudai,뜻 자동 생성 필요,미분류,N3
活動,かつどう,katsudou,뜻 자동 생성 필요,미분류,N3
患者,かんじゃ,kanja,뜻 자동 생성 필요,미분류,N3
環境,かんきょう,kankyou,뜻 자동 생성 필요,미분류,N3
監督,かんとく,kantoku,뜻 자동 생성 필요,미분류,N3
管理,かんり,kanri,뜻 자동 생성 필요,미분류,N3
関心,かんしん,kanshin,뜻 자동 생성 필요,미분류,N3
関連,かんれん,kanren,뜻 자동 생성 필요,미분류,N3
企業,きぎょう,kigyou,뜻 자동 생성 필요,미분류,N3
基本,きほん,kihon,뜻 자동 생성 필요,미분류,N3
期間,きかん,kikan,뜻 자동 생성 필요,미분류,N3
期待,きたい,kitai,뜻 자동 생성 필요,미분류,N3
